2016-07-06 19:59:33,415 [Worker-8] INFO  o.e.m.c.i.e.AbstractTransferListenerAdapter - Downloaded http://web.cloud.lsd.ufcg.edu.br:44174/nexus/content/repositories/br.edu.ufcg/org/apache/maven/plugins/maven-clean-plugin/3.0.0/maven-clean-plugin-3.0.0.jar
2016-07-06 19:59:35,501 [Worker-8] INFO  o.e.m.c.i.e.AbstractTransferListenerAdapter - Downloading https://repo.maven.apache.org/maven2/org/apache/maven/plugins/maven-clean-plugin/3.0.0/maven-clean-plugin-3.0.0.jar
2016-07-06 19:59:35,894 [Worker-8] INFO  o.e.m.c.i.e.AbstractTransferListenerAdapter - Downloaded https://repo.maven.apache.org/maven2/org/apache/maven/plugins/maven-clean-plugin/3.0.0/maven-clean-plugin-3.0.0.jar
2016-07-06 19:59:36,676 [Worker-8] INFO  o.e.m.c.i.e.AbstractTransferListenerAdapter - Downloading http://web.cloud.lsd.ufcg.edu.br:44174/nexus/content/repositories/br.edu.ufcg/br/edu/ufcg/ccc/leda-chart-tool/1.0.0-SNAPSHOT/maven-metadata.xml
2016-07-06 19:59:36,864 [Worker-8] INFO  o.e.m.c.i.e.AbstractTransferListenerAdapter - Downloaded http://web.cloud.lsd.ufcg.edu.br:44174/nexus/content/repositories/br.edu.ufcg/br/edu/ufcg/ccc/leda-chart-tool/1.0.0-SNAPSHOT/maven-metadata.xml
2016-07-06 19:59:37,060 [Worker-8] INFO  o.e.m.c.i.e.AbstractTransferListenerAdapter - Downloading http://web.cloud.lsd.ufcg.edu.br:44174/nexus/content/repositories/br.edu.ufcg/br/edu/ufcg/ccc/leda-chart-tool/1.0.0-SNAPSHOT/leda-chart-tool-1.0.0-20160706.190044-6.jar
2016-07-06 19:59:39,374 [Worker-8] INFO  o.e.m.c.i.e.AbstractTransferListenerAdapter - Downloaded http://web.cloud.lsd.ufcg.edu.br:44174/nexus/content/repositories/br.edu.ufcg/br/edu/ufcg/ccc/leda-chart-tool/1.0.0-SNAPSHOT/leda-chart-tool-1.0.0-20160706.190044-6.jar
2016-07-06 19:59:41,313 [Worker-8] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.eclipse.m2e.jdt.JarLifecycleMapping lifecycle mapping for MavenProject: br.edu.ufcg.computacao:submission:1.0 @ /home/manoel/git/LEDA/R01-01-Rot-SimpleSorting-Bidirectional-Bubble-environment/pom.xml.
2016-07-06 19:59:41,795 [Worker-8] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding source folder /R01-01-Rot-SimpleSorting-Bidirectional-Bubble-environment/src/main/java
2016-07-06 19:59:41,796 [Worker-8] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding source folder /R01-01-Rot-SimpleSorting-Bidirectional-Bubble-environment/src/test/java
2016-07-06 19:59:41,873 [Worker-8] INFO  o.e.m.c.i.p.ProjectConfigurationManager - Imported and configured 1 project(s) in 10 sec
2016-07-06 19:59:42,639 [Worker-3] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2016-07-06 19:59:42,654 [Worker-3] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /home/manoel/git/LEDA/R01-01-Rot-SimpleSorting-Bidirectional-Bubble-environment/src/main/resources
2016-07-06 19:59:42,658 [Worker-3] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2016-07-06 19:59:42,659 [Worker-3] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /home/manoel/git/LEDA/R01-01-Rot-SimpleSorting-Bidirectional-Bubble-environment/src/test/resources
2016-07-06 20:28:25,254 [Worker-16] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2016-07-06 20:28:25,258 [Worker-16] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /home/manoel/git/LEDA/R01-01-Rot-SimpleSorting-Bidirectional-Bubble-environment/src/main/resources
2016-07-06 20:28:25,270 [Worker-16] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2016-07-06 20:28:25,271 [Worker-16] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /home/manoel/git/LEDA/R01-01-Rot-SimpleSorting-Bidirectional-Bubble-environment/src/test/resources
2016-07-06 20:31:25,292 [Worker-19] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2016-07-06 20:31:25,292 [Worker-19] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /home/manoel/git/LEDA/R01-01-Rot-SimpleSorting-Bidirectional-Bubble-environment/src/main/resources
2016-07-06 20:31:25,295 [Worker-19] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2016-07-06 20:31:25,295 [Worker-19] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /home/manoel/git/LEDA/R01-01-Rot-SimpleSorting-Bidirectional-Bubble-environment/src/test/resources
2016-07-06 20:32:54,014 [Worker-19] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2016-07-06 20:32:54,015 [Worker-19] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /home/manoel/git/LEDA/R01-01-Rot-SimpleSorting-Bidirectional-Bubble-environment/src/main/resources
2016-07-06 20:32:54,030 [Worker-19] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2016-07-06 20:32:54,031 [Worker-19] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /home/manoel/git/LEDA/R01-01-Rot-SimpleSorting-Bidirectional-Bubble-environment/src/test/resources
2016-07-06 20:49:16,457 [Worker-19] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2016-07-06 20:49:16,489 [Worker-19] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /home/manoel/git/LEDA/R01-01-Rot-SimpleSorting-Bidirectional-Bubble-environment/src/main/resources
2016-07-06 20:49:16,491 [Worker-19] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2016-07-06 20:49:16,492 [Worker-19] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /home/manoel/git/LEDA/R01-01-Rot-SimpleSorting-Bidirectional-Bubble-environment/src/test/resources
